search_term,campaign_id,campaign_name,ad_group,impressions,clicks,cost,conversions,conv_value,match_type
cooper and hunter,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
cooper hunter,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
copeland sales,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
cost of a carrier furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
daikin,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
daikin air,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
direct vent heater,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
eco air,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
economy hvac supply flushing,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
edge guys,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
electric and air conditioning,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
elite air cooling,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
evcon,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
evo air,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
ez comfort,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
fahnestock heating and air conditioning,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
family air conditioning and heating,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
feltons heating,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
ferguson heating,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
ferguson's heating,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
filters for ac units,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
floor heating systems,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
four seasons heating and air,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
four seasons heating and cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
freddie's heating and air conditioning,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
freedom air heating & cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
friedrich,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
furnace blower motor,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
furnace deals near me,20958985895,BCD Branded,Branded Terms,3,0,0.0,0.0,0.0,BROAD
furnace for sale,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
furnace to buy,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
gary's heating and air,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
gas furnace for 1700 sq ft house,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
goodman 100000 btu furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
goodman 2.5 ton coil,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
goodman 2.5 ton heat pump,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
goodman 2.5 ton heat pump 410a,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
goodman 70000 btu furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
goodman com,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
goodman distribution,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
goodman gas furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
goodman gmvc96,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
goodman gpc,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
goodman hvac,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
goodman package unit,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
goodman unit,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
guelzow heating,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
h&m heating and cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
heater furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
heating,20958985895,BCD Branded,Branded Terms,5,0,0.0,0.0,0.0,BROAD
heating and air conditioning near me,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
heating and air near me,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
heating and cooling company near me,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
heating world inc,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
heil hvac dealers,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
home ac unit,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
home comfort,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
home depot air conditioner,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
home furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
home hvac system,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
hotel hvac units,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
how much does it cost to have a furnace installed,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
hvac depot inc,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
hvac direct,20958985895,BCD Branded,Branded Terms,12,0,0.0,0.0,0.0,BROAD
hvac direct promo code,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
hvac door actuator replacement cost,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
hvac ductwork,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
hvac part store near me,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
hvac plus,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
hvac registers and grills,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
hvac supplies,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
hvac supplies near me,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
hvac supply columbus ga,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
hvac supply portland,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
hvac vent covers,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
icefire innovations hvac,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
icp furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
jetsonhome,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
johnstone supply,20958985895,BCD Branded,Branded Terms,14,0,0.0,0.0,0.0,BROAD
johnstone supply fort lauderdale,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
johnstone supply near me,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
johnstone supply parkersburg wv,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
landes heating,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
lennox,20958985895,BCD Branded,Branded Terms,4,0,0.0,0.0,0.0,BROAD
lennox elite,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
lennox furnace parts near me,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
lennox gas furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
lennox heating,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
lennox home comfort systems,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
lennox parts,20958985895,BCD Branded,Branded Terms,3,0,0.0,0.0,0.0,BROAD
lennox parts by model number,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
loftus heating and air,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
mcgee heating and air,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
mercury heating and air conditioning,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
midea air conditioner,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
mini split ac unit,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
mini split ac unit 3 zone,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
mobile home furnace parts near me,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
mr cool,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
mrcool central ducted system,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
national grid heat pump discount,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
nemchek heating & cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
new furnace installation cost,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
nordyne furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
nordyne furnace parts,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
north ga heating and air,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
o brien heating and cooling,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
oil furnace for sale,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
outside air conditioner unit,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
packaged terminal air conditioner,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
paraco hvac,20958985895,BCD Branded,Branded Terms,3,0,0.0,0.0,0.0,BROAD
parts for gas heater,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
patrick heating and air,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
payne furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
pioneer heating and cooling,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
propane furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
propane furnace cost,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
ptac units,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
pure comfort heating and cooling,20958985895,BCD Branded,Branded Terms,4,0,0.0,0.0,0.0,BROAD
raisor heating and cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
refricenter,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
residential heating and air conditioning,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
rheem 100 000 btu gas furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
rheem com,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
rheem supplier,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
roberson heating supply,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
rooftop package unit,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
royal comfort,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
ruud achiever series,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
ruud side discharge heat pump,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
s9v2d120u5,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
save home heat,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
sgi heating and cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
slp98uhv,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
source one furnace parts,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
spicer heating and cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
surplus city llc,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
swift air conditioning and heating,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
tempstar furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
tempstar furnace distributor,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
the whalen company,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
tm9v080b12mp12c,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
totaline,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
trane commercial parts,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
tucson heat pump,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
unico products,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
uuy24zgdab,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
ward heating and cooling oxford ct,20958985895,BCD Branded,Branded Terms,4,0,0.0,0.0,0.0,BROAD
williams furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
www easycomfort com,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
york factory direct,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
york hh8 heat pump,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
